chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
a-ma-i-na	a-ma-i-na	a-ma-i-na-ja-re	5	xpg	Phrygian	baɡo	4	0.8000	4	5		"[""ab"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o""]"
a-u-ti-nu	a-u-ti-nu	a-u-ti-nu-i-na-i	5	xpg	Phrygian	anar	4	0.8000	4	5	husband	"[""anar"", ""anar"", ""anar"", ""anar"", ""ab- (ab-)""]"
nu-*56-e-tu	nu-*56-e-tu	nu-*56-e-tu-me-i-j	5	xpg	Phrygian	bratere	7	0.8000	4	5	brother	"[""anar"", ""bratere"", ""bratere"", ""bratere"", ""bratere""]"
tu-me-i	tu-me-i	tu-me-i-ja-sa-u	7	xpg	Phrygian	aoːroː	6	0.7143	5	7		"[""anar"", ""anar"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	xlc	Lycian	ux(i)-	4	1.0000	5	5		"[""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-""]"
e-i-ke-ta	e-i-ke-ta	e-i-ke-ta-na-i-*301	5	xlc	Lycian	ite(/i)-	6	1.0000	5	5	judicial court (?)	"[""ite(/i)-"", ""ite(/i)-"", ""ite(/i)-"", ""ite(/i)-"", ""ite(/i)-""]"
nwa-za	nwa-za	nwa-za-*56-ni	4	xlc	Lycian	kʷla-	4	1.0000	4	4		"[""k\u02b7la-"", ""k\u02b7la-"", ""k\u02b7la-"", ""k\u02b7la-""]"
a-da-wa	a-da-wa	a-da-wa-i-ja	4	xlc	Lycian	Isɲta-	5	1.0000	4	4		"[""Is\u0272ta-"", ""Is\u0272ta-"", ""Is\u0272ta-"", ""Is\u0272ta-""]"
i-da-ja	i-da-ja	i-da-ja-ja	4	xlc	Lycian	nun͂-	4	1.0000	4	4		"[""nun\u0342-"", ""nun\u0342-"", ""nun\u0342-"", ""nun\u0342-""]"
i-nwa-za	i-nwa-za	i-nwa-za-*56-ni	4	xlc	Lycian	kʷla-	4	1.0000	4	4		"[""k\u02b7la-"", ""k\u02b7la-"", ""k\u02b7la-"", ""k\u02b7la-""]"
na-da-wa	na-da-wa	na-da-wa-i-ja	4	xlc	Lycian	Isɲta-	5	1.0000	4	4		"[""Is\u0272ta-"", ""Is\u0272ta-"", ""Is\u0272ta-"", ""Is\u0272ta-""]"
ra-me-u	ra-me-u	ra-me-u-na-ru-k	9	xlc	Lycian	ux(i)-	4	0.8889	8	9		"[""=ti"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-""]"
na-i-*301-ti	na-i-*301-ti	na-i-*301-ti-ja-sa	5	xlc	Lycian	eb(e)	4	0.8000	4	5		"[""Masa"", ""eb(e)"", ""eb(e)"", ""eb(e)"", ""eb(e)""]"
a-i-*301-u-ti	a-i-*301-u-ti	a-i-*301-u-ti-nu-ja	5	xlc	Lycian	eb(e)	4	0.8000	4	5		"[""Masa"", ""eb(e)"", ""eb(e)"", ""eb(e)"", ""eb(e)""]"
a-me-u-na	a-me-u-na	a-me-u-na-ru-ka	9	xlc	Lycian	ux(i)-	4	0.7778	7	9		"[""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""a(i)-(di)"", ""a(i)-(di)""]"
i-te-te	i-te-te	i-te-te-re-p	4	xlc	Lycian	γarãi	5	0.7500	3	4		"[""\u03b3ar\u00e3i"", ""\u03b3ar\u00e3i"", ""\u03b3ar\u00e3i"", ""\u1ebdne/i-""]"
di-ki-tu	di-ki-tu	di-ki-tu-ja-s	4	xlc	Lycian	s(ije)-	5	0.7500	3	4		"[""me"", ""s(ije)-"", ""s(ije)-"", ""s(ije)-""]"
ki-te-te	ki-te-te	ki-te-te-re-p	4	xlc	Lycian	γarãi	5	0.7500	3	4		"[""\u03b3ar\u00e3i"", ""\u03b3ar\u00e3i"", ""\u03b3ar\u00e3i"", ""\u1ebdne/i-""]"
u-me-i-ja	u-me-i-ja	u-me-i-ja-sa-u-n	7	xlc	Lycian	ux(i)-	4	0.7143	5	7		"[""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""ux(i)-"", ""a(i)-(di)"", ""a(i)-(di)""]"
i-ke-ta	i-ke-ta	i-ke-ta-na-i-*301-t	6	ccs-pro	Proto-Kartvelian	rdʒw	4	1.0000	6	6		"[""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	ccs-pro	Proto-Kartvelian	oqar	4	1.0000	6	6	solitary	"[""oqar"", ""oqar"", ""oqar"", ""oqar"", ""oqar"", ""oqar""]"
ke-ta-na	ke-ta-na	ke-ta-na-i-*301-ti	5	ccs-pro	Proto-Kartvelian	rdʒw	4	1.0000	5	5		"[""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w"", ""rd\u0292w""]"
i-da-ja	i-da-ja	i-da-ja-ja	4	ccs-pro	Proto-Kartvelian	ʃubl	4	1.0000	4	4		"[""\u0283ubl"", ""\u0283ubl"", ""\u0283ubl"", ""\u0283ubl""]"
a-ja-se	a-ja-se	a-ja-se-ka-na-s	6	ccs-pro	Proto-Kartvelian	matʼl	5	0.8333	5	6		"[""l\u02bfdze"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	ccs-pro	Proto-Kartvelian	dzor	4	0.8333	5	6		"[""dzor"", ""dzor"", ""dzum"", ""dzor"", ""dzor"", ""dzor""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	ccs-pro	Proto-Kartvelian	matʼl	5	0.8000	4	5		"[""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""nu""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	ccs-pro	Proto-Kartvelian	biɡa	4	0.8000	4	5		"[""\u0261ab"", ""bi\u0261a"", ""bi\u0261a"", ""bi\u0261a"", ""bi\u0261a""]"
wa-ja-se	wa-ja-se	wa-ja-se-ka-na	5	ccs-pro	Proto-Kartvelian	matʼl	5	0.8000	4	5		"[""l\u02bfdze"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl""]"
a-u-ti-nu	a-u-ti-nu	a-u-ti-nu-i-na-i	5	ccs-pro	Proto-Kartvelian	babua	5	0.8000	4	5		"[""babua"", ""babua"", ""babua"", ""babua"", ""k\u02bcut\u02bcu""]"
e-u-na-ru	e-u-na-ru	e-u-na-ru-ka-na	5	ccs-pro	Proto-Kartvelian	dedal	5	0.8000	4	5	female	"[""deda"", ""dedal"", ""dedal"", ""dedal"", ""dedal""]"
na-i-da	na-i-da	na-i-da-ja-s	4	ccs-pro	Proto-Kartvelian	ʃubl	4	0.7500	3	4		"[""\u0261ob"", ""\u0283ubl"", ""\u0283ubl"", ""\u0283ubl""]"
ki-te-te	ki-te-te	ki-te-te-re-p	4	ccs-pro	Proto-Kartvelian	lʿdze	5	0.7500	3	4		"[""lok\u02bc"", ""l\u02bfdze"", ""l\u02bfdze"", ""l\u02bfdze""]"
i-na-i-da	i-na-i-da	i-na-i-da-ja-s	4	ccs-pro	Proto-Kartvelian	ʃubl	4	0.7500	3	4		"[""oboba"", ""\u0283ubl"", ""\u0283ubl"", ""\u0283ubl""]"
u-ja-sa	u-ja-sa	u-ja-sa-sa-ra-m	6	ine-pro	Proto-Indo-European	skeɣʷ	5	1.0000	6	6		"[""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7""]"
*301-ti-ja	*301-ti-ja	*301-ti-ja-sa-sa-r	6	ine-pro	Proto-Indo-European	ɣʷekʷ	5	1.0000	6	6		"[""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	ine-pro	Proto-Indo-European	skeɣʷ	5	1.0000	5	5		"[""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7"", ""ske\u0263\u02b7""]"
wa-e-a-di	wa-e-a-di	wa-e-a-di-ki-te	5	ine-pro	Proto-Indo-European	ħepo	4	1.0000	5	5		"[""\u0127epo"", ""\u0127epo"", ""\u0127epo"", ""\u0127epo"", ""\u0127epo""]"
i-*301-ti-ja	i-*301-ti-ja	i-*301-ti-ja-sa-sa	5	ine-pro	Proto-Indo-European	ɣʷekʷ	5	1.0000	5	5		"[""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7"", ""\u0263\u02b7ek\u02b7""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	ine-pro	Proto-Indo-European	tetkoː	6	0.8333	5	6		"[""eti"", ""tetko\u02d0"", ""tetko\u02d0"", ""tetko\u02d0"", ""tetko\u02d0"", ""tetko\u02d0""]"
ja-i-nwa	ja-i-nwa	ja-i-nwa-za-*56-n	5	ine-pro	Proto-Indo-European	ɣʷeroː	6	0.8000	4	5		"[""ke\u02d0r"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0""]"
ja-tu-ru	ja-tu-ru	ja-tu-ru-sa-i-d	5	ine-pro	Proto-Indo-European	kʷels	5	0.8000	4	5		"[""k\u02b7els"", ""k\u02b7els"", ""k\u02b7els"", ""k\u02b7els"", ""ksnew""]"
ti-nu-ja	ti-nu-ja	ti-nu-ja-sa-sa	5	ine-pro	Proto-Indo-European	tetkoː	6	0.8000	4	5		"[""enu"", ""tetko\u02d0"", ""tetko\u02d0"", ""tetko\u02d0"", ""tetko\u02d0""]"
i-da-ja	i-da-ja	i-da-ja-ja	4	ine-pro	Proto-Indo-European	peku	4	0.7500	3	4		"[""peku"", ""peku"", ""wek\u02b7"", ""peku""]"
a-ja-i-nwa	a-ja-i-nwa	a-ja-i-nwa-za-*56	4	ine-pro	Proto-Indo-European	ɣʷeroː	6	0.7500	3	4		"[""ke\u02d0r"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0""]"
ja-sa-u	ja-sa-u	ja-sa-u-na-ka-na-si	7	ine-pro	Proto-Indo-European	kʷoti	5	0.7143	5	7		"[""k\u02b7os"", ""k\u02b7os"", ""k\u02b7oti"", ""k\u02b7oti"", ""k\u02b7oti"", ""k\u02b7oti"", ""k\u02b7oti""]"
ja-ta-i	ja-ta-i	ja-ta-i-*301-u-ja	5	xur	Urartian	BAL-te	6	1.0000	4	4	sumerogram:(meaning unknown)	"[""BAL-te"", ""BAL-te"", ""BAL-te"", ""BAL-te""]"
a-na-ti	a-na-ti	a-na-ti-*301-wa-ja	6	xur	Urartian	naxitse	7	0.8333	5	6		"[""u\u0283t"", ""naxitse"", ""naxitse"", ""naxitse"", ""naxitse"", ""naxitse""]"
*301-ti-ja	*301-ti-ja	*301-ti-ja-sa-sa-r	6	xur	Urartian	eʃiate	6	0.8333	5	6		"[""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""URU.TUR""]"
i-*301-u-ti	i-*301-u-ti	i-*301-u-ti-nu-ja-s	6	xur	Urartian	teʃi	4	0.8333	5	6		"[""teq-"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i""]"
a-ma-i-na	a-ma-i-na	a-ma-i-na-ja-re	5	xur	Urartian	sane	4	0.8000	4	5	kettle	"[""man"", ""sane"", ""sane"", ""sane"", ""sane""]"
ra-me-u	ra-me-u	ra-me-u-na-ru-k	9	xur	Urartian	Aldi	4	0.7778	7	9	urartian national god = haldi	"[""nuld-"", ""Aldi"", ""Aldi"", ""Aldi"", ""Aldi"", ""Aldi"", ""Aldi"", ""ardini"", ""Aldi""]"
a-me-u-na	a-me-u-na	a-me-u-na-ru-ka	9	xur	Urartian	Aldi	4	0.7778	7	9	urartian national god = haldi	"[""Aldi"", ""Aldi"", ""Aldi"", ""Aldi"", ""Aldi"", ""ardini"", ""Aldi"", ""ardini"", ""Aldi""]"
i-ki-tu	i-ki-tu	i-ki-tu-ja-s	4	xur	Urartian	tsʼare	6	0.7500	3	4		"[""tsa\u0283-"", ""ts\u02bcare"", ""ts\u02bcare"", ""ts\u02bcare""]"
di-ki-tu	di-ki-tu	di-ki-tu-ja-s	4	xur	Urartian	tsʼare	6	0.7500	3	4		"[""tsa\u0283-"", ""ts\u02bcare"", ""ts\u02bcare"", ""ts\u02bcare""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	xur	Urartian	MAN-nu-	6	0.7500	3	4	sumerogram:become king	"[""edi"", ""MAN-nu-"", ""MAN-nu-"", ""MAN-nu-""]"
a-da-u-ti	a-da-u-ti	a-da-u-ti-nu-i-n	5	xur	Urartian	MAN-usi	7	0.7500	3	4	sumerogram:royal	"[""MAN-usi"", ""LU\u2082-tuxi"", ""MAN-usi"", ""MAN-usi""]"
i-na-i-da	i-na-i-da	i-na-i-da-ja-s	4	xur	Urartian	sane	4	0.7500	3	4	kettle	"[""tan-"", ""sane"", ""sane"", ""sane""]"
*56-e-tu-me	*56-e-tu-me	*56-e-tu-me-i-ja-s	5	ave	Avestan	asanɡh	6	1.0000	5	5		"[""asan\u0261h"", ""asan\u0261h"", ""asan\u0261h"", ""asan\u0261h"", ""asan\u0261h""]"
a-da-wa	a-da-wa	a-da-wa-i-ja	4	ave	Avestan	puxdha	6	1.0000	4	4	fifth	"[""puxdha"", ""puxdha"", ""puxdha"", ""puxdha""]"
di-ki-tu	di-ki-tu	di-ki-tu-ja-s	4	ave	Avestan	udra	4	1.0000	4	4	wiktionary	"[""udra"", ""udra"", ""udra"", ""udra""]"
na-ru-ka	na-ru-ka	na-ru-ka-na-s	4	ave	Avestan	ɡhzhar	6	1.0000	4	4		"[""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar""]"
u-na-ru	u-na-ru	u-na-ru-ka-na-ti	9	ave	Avestan	ɡhzhar	6	0.8889	8	9		"[""[-]"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	ave	Avestan	vohuniː	7	0.8000	4	5		"[""st\u00fbt"", ""vohuni\u02d0"", ""vohuni\u02d0"", ""vohuni\u02d0"", ""vohuni\u02d0""]"
wa-ja-tu	wa-ja-tu	wa-ja-tu-ru-sa	5	ave	Avestan	drudʒ	5	0.8000	4	5		"[""[-]"", ""drud\u0292"", ""drud\u0292"", ""drud\u0292"", ""drud\u0292""]"
e-u-na-ru	e-u-na-ru	e-u-na-ru-ka-na	5	ave	Avestan	ɡhzhar	6	0.8000	4	5		"[""[-]"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar"", ""\u0261hzhar""]"
ki-te-te	ki-te-te	ki-te-te-re-p	4	ave	Avestan	dreñdʒ	6	0.7500	3	4		"[""drux\u0283"", ""dre\u00f1d\u0292"", ""dre\u00f1d\u0292"", ""dre\u00f1d\u0292""]"
a-ja-i-nwa	a-ja-i-nwa	a-ja-i-nwa-za-*56	4	ave	Avestan	tʃvañt	6	0.7500	3	4		"[""t\u0283va\u00f1t"", ""t\u0283va\u00f1t"", ""t\u0283va\u00f1t"", ""-t\u0283a""]"
a-ja-tu	a-ja-tu	a-ja-tu-ru-sa-i	6	xld	Lydian	kuka-	4	1.0000	6	6		"[""kuka-"", ""kuka-"", ""kuka-"", ""kuka-"", ""kuka-"", ""kuka-""]"
a-da-u-ti	a-da-u-ti	a-da-u-ti-nu-i-n	5	xld	Lydian	kof(i)-	5	1.0000	5	5	water	"[""kof(i)-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-""]"
a-ma-si	a-ma-si	a-ma-si-ru-te	5	xld	Lydian	kof(i)-	5	0.8000	4	5	water	"[""sfa-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-""]"
ma-na-da	ma-na-da	ma-na-da-wa-i-j	5	xld	Lydian	aɕtrkoɕ	7	0.8000	4	5		"[""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""kofu""]"
na-ma-si	na-ma-si	na-ma-si-ru-te	5	xld	Lydian	vsta	4	0.8000	4	5	a heir	"[""vsta"", ""vsta"", ""vsta"", ""vsta"", ""kof(i)-""]"
wa-ja-se	wa-ja-se	wa-ja-se-ka-na	5	xld	Lydian	wsta-	4	0.8000	4	5	expense (?)	"[""wsta-"", ""wsta-"", ""wsta-"", ""wsta-"", ""tsa-(t)""]"
sa-ra-me	sa-ra-me	sa-ra-me-u-na-r	9	xld	Lydian	iʃko-	4	0.7778	7	9		"[""i\u0283ko-"", ""i\u0283ko-"", ""i\u0283ko-"", ""i\u0283ko-"", ""i\u0283ko-"", ""i\u0283ko-"", ""i\u0283ko-"", ""a\u0255trko\u0255"", ""a\u0255trko\u0255""]"
ka-na-si	ka-na-si	ka-na-si-si-r	4	xld	Lydian	etla-	4	0.7500	3	4	(unknown)	"[""etla-"", ""etla-"", ""etla-"", ""\u1ebdtwer\u0283(i)-""]"
i-na-ja	i-na-ja	i-na-ja-re-ta	5	uga	Ugaritic	sˤlj	4	1.0000	5	5		"[""s\u02e4lj"", ""s\u02e4lj"", ""s\u02e4lj"", ""s\u02e4lj"", ""s\u02e4lj""]"
na-i-da	na-i-da	na-i-da-ja-s	4	uga	Ugaritic	sˤuru	5	1.0000	4	4		"[""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru""]"
i-na-i-da	i-na-i-da	i-na-i-da-ja-s	4	uga	Ugaritic	sˤuru	5	1.0000	4	4		"[""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru""]"
u-i-na-i	u-i-na-i	u-i-na-i-da-ja-s	6	uga	Ugaritic	xulsˤu	6	0.8333	5	6		"[""\u0263r"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u""]"
*301-wa-e-a	*301-wa-e-a	*301-wa-e-a-di-ki-t	6	uga	Ugaritic	uqnu	4	0.8333	5	6		"[""ib"", ""uqnu"", ""uqnu"", ""uqnu"", ""uqnu"", ""uqnu""]"
na-i-*301-ti	na-i-*301-ti	na-i-*301-ti-ja-sa	5	uga	Ugaritic	sˤuru	5	0.8000	4	5		"[""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru"", ""s\u02e4uru"", ""\u0283i\u02d0ru""]"
ja-sa-sa	ja-sa-sa	ja-sa-sa-ra-me	6	hit	Hittite	xapa	4	0.8333	5	6		"[""ap\u02d0a"", ""xapa"", ""xapa"", ""xapa"", ""xapa"", ""xapa""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	hit	Hittite	iːsˤaː́	7	0.8000	4	5		"[""as"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301""]"
ja-ja-sa	ja-ja-sa	ja-ja-sa-sa-ra	5	hit	Hittite	xʃap	4	0.8000	4	5		"[""u\u02d0x\u02d0i"", ""x\u0283ap"", ""x\u0283ap"", ""x\u0283ap"", ""x\u0283ap""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	hit	Hittite	saːki	5	0.8000	4	5		"[""tuk"", ""sa\u02d0ki"", ""sa\u02d0ki"", ""sa\u02d0ki"", ""sa\u02d0ki""]"
